postcode,id
E8 2BB,1070191
E8 2LA,277073
EC1A 1AA,4393149
EC1A 1AH,277699
EC1A 1AZ,1809658
EC1A 1BB,1644751
EC1A 1DN,277705
EC1A 1DU,277708
EC1A 1SS,4450093
EC1A 1TA,3589633
EC1A 1TB,3589634
EC1A 1TF,3589637
EC1A 1TG,3589638
EC1A 1TR,3636655
EC1A 1TU,3636658
EC1A 1TW,3636659
EC1A 1UD,3647202
EC1A 1UE,3647203
EC1A 1UF,3639995
EC1A 1UH,3639996
EC1A 1UW,3636661
EC1A 1UZ,3630979
EC1A 1WX,3657759
EC1A 1WZ,3657760
EC1A 1XE,1816838
EC1A 1XF,1813453
EC1A 1XG,1827685
EC1A 1XH,3880736
EC1A 1XN,3622612
EC1A 1XQ,1827688
EC1A 1XR,3622613
EC1A 1XS,3622614
EC1A 1XT,3622615
EC1A 1XU,3636663
EC1A 1XW,3630980
EC1A 1XY,3630981
EC1A 1XZ,1813454
EC1A 1YA,1827689
EC1A 1YD,1813455
EC1A 1YF,3880742
EC1A 1YJ,3880751
EC1A 1YL,3880754
EC1A 1YP,3581938
EC1A 1YQ,1813457
EC1A 1YR,1827690
EC1A 1YS,3581939
EC1A 1YT,1827691
EC1A 1YU,3589645
EC1A 1YW,3581940
EC1A 1YX,3589646
EC1A 1YZ,1827692
EC1A 1ZB,3664358
EC1A 1ZD,3664359
EC1A 1ZF,3664361
EC1A 1ZG,3664362
EC1A 1ZH,3657763
EC1A 4AE,3851709
EC1A 4JB,1721619
EC1A 4JE,1474848
EC1A 4JH,4158851
EC1A 4JL,4125539
EC1A 4JN,277771
EC1A 4JQ,277773
EC1A 4JT,1474849
EC1A 4JU,277775
EC1A 4JW,4123981
EC1A 9BD,1328135
EC1M 3HE,1070475
EC1M 4AA,277859
EC1M 4AH,4320754
EC1M 4AN,277861
EC1M 4AR,3653488
EC1M 4AS,1070485
EC1M 4AY,277862
EC1M 4BF,277864
EC1M 4BG,1681742
EC1M 4BH,1474871
EC1M 4BJ,277865
EC1M 4BL,3880760
EC1M 4BS,277867
EC1M 4BU,277868
EC1M 4DA,277869
EC1M 4DD,277870
EC1M 4DE,277871
EC1M 4DF,277872
EC1M 4DG,277873
EC1M 4DH,1328145
EC1M 4DL,277874
EC1M 4DN,1474873
EC1M 4DS,277876
EC1M 4DT,277877
EC1M 4DZ,277879
EC1M 4EB,1736583
EC1M 4EF,1474874
EC1M 4EG,277880
EC1M 4EH,277881
EC1M 4EL,277882
EC1M 4HF,277885
EC1M 4HG,1474875
EC1M 4JN,277890
EC1M 4NA,277897
EC1M 4NB,4173551
EC1M 4NE,277899
EC1M 4NH,3916841
EC1M 4NJ,277901
EC1M 4NN,1070486
EC1M 4NP,1290803
EC1M 4NQ,3605493
EC1M 4NR,1070487
EC1M 4NT,277903
EC1M 4NU,1070488
EC1M 4NX,277904
EC1M 4XA,3639999
EC1M 5AD,4214684
EC1M 5HD,1070491
EC1M 5LA,1820319
EC1M 5NA,1070492
EC1M 5NG,1070493
EC1M 5NR,1681744
EC1M 5NW,1070495
EC1M 5NY,277911
EC1M 5NZ,277912
EC1M 5PA,1070496
EC1M 5PE,277913
EC1M 5PF,1070497
EC1M 5PG,277914
EC1M 5PN,3780420
EC1M 5PQ,1070498
EC1M 5PS,277915
EC1M 5PU,1813460
EC1M 5PW,3788076
EC1M 5PX,277916
EC1M 5PY,3790170
EC1M 5PZ,3781521
EC1M 5QA,277917
EC1M 5QD,1070500
EC1M 5QL,1070501
EC1M 5QP,277919
EC1M 5QU,1714197
EC1M 5RD,1070502
EC1M 5RF,277921
EC1M 5RJ,1328151
EC1M 5RN,1070503
EC1M 5RR,277922
EC1M 5RS,1070504
EC1M 5SA,277923
EC1M 5SX,1070505
EC1M 5SY,1474884
EC1M 5SZ,3815792
EC1M 5TX,1070510
EC1M 5UA,277932
EC1M 5UB,1070511
EC1M 5UD,3975577
EC1M 5UE,1070512
EC1M 5UG,1328152
EC1M 5UH,277934
EC1M 5UJ,1070513
EC1M 5UL,1474886
EC1M 5UP,277935
EC1M 5UQ,1070514
EC1M 5UR,277936
EC1M 5US,1070515
EC1M 5UT,1681745
